Year,Movie,Award,Winner
2017,Wonder Woman,PFCS,N
2016,Fantastic Beasts and Where to Find Them,PFCS,Y
2016,Florence Foster Jenkins,PFCS,N
2016,Hacksaw Ridge,PFCS,N
2016,Jackie,PFCS,N
2016,La La Land,PFCS,N
2000,How the Grinch Stole Christmas,PFCS,Y
2000,Almost Famous,PFCS,N
2000,Gladiator,PFCS,N
2000,Quills,PFCS,N
2000,The Cell,PFCS,N
2001,The Lord of the Rings: The Fellowship of the Ring,PFCS,Y
2001,Gosford Park,PFCS,N
2001,Harry Potter and the Sorcerer's Stone,PFCS,N
2001,Moulin Rouge!,PFCS,N
2001,Planet of the Apes,PFCS,N
2002,Chicago,PFCS,Y
2002,Far From Heaven,PFCS,N
2002,Gangs of New York,PFCS,N
2002,Harry Potter and the Chamber of Secrets,PFCS,N
2002,The Lord of the Rings: The Two Towers,PFCS,N
2003,Down with Love,PFCS,Y
2003,Master and Commander: The Far Side of the World,PFCS,N
2003,Pirates of the Caribbean: The Curse of the Black Pearl,PFCS,N
2003,The Last Samurai,PFCS,N
2003,The Lord of the Rings: The Return of the King,PFCS,N
2004,The Aviator,PFCS,Y
2005,Memoirs of a Geisha,PFCS,Y
2006,Marie Antoinette,PFCS,Y
2007,Sweeney Todd: The Demon Barber of Fleet Street,PFCS,Y
2008,The Duchess,PFCS,Y
2009,The Young Victoria,PFCS,Y
2010,Alice in Wonderland,PFCS,Y
2010,The King's Speech,PFCS,N
2010,True Grit,PFCS,N
2011,The Artist,PFCS,Y
2011,Hugo,PFCS,N
2011,Jane Eyre,PFCS,N
2012,Anna Karenina,PFCS,Y
2012,A Royal Affair,PFCS,N
2012,Les Misérables,PFCS,N
2012,Lincoln,PFCS,N
2012,The Hobbit: An Unexpected Journey,PFCS,N
2013,The Great Gatsby,PFCS,Y
2013,12 Years a Slave,PFCS,N
2013,42,PFCS,N
2013,American Hustle,PFCS,N
2013,Saving Mr. Banks,PFCS,N
2014,The Grand Budapest Hotel,PFCS,Y
2014,Inherent Vice,PFCS,N
2014,Into the Woods,PFCS,N
2014,Maleficent,PFCS,N
2014,The Theory of Everything,PFCS,N
2015,Mad Max: Fury Road,PFCS,Y
2015,Cinderella,PFCS,N
2015,The Danish Girl,PFCS,N
